time,lat,lon,rain
2016-03-12 14:45:00,-22.7880614877703,-43.5280259369951,0.0
2016-03-12 14:45:00,-22.7880614877703,-43.4071669736099,0.0
2016-03-12 14:45:00,-22.7880614877703,-43.2863080102248,0.0
2016-03-12 14:45:00,-22.7880614877703,-43.1654490468397,1.707236784014336
2016-03-12 14:45:00,-22.7188931180216,-43.8906028271505,0.0
2016-03-12 14:45:00,-22.7188931180216,-43.7697438637654,0.0
2016-03-12 14:45:00,-22.7188931180216,-43.6488849003802,0.0
2016-03-12 14:45:00,-22.7188931180216,-43.5280259369951,0.0
2016-03-12 14:45:00,-22.7188931180216,-43.4071669736099,0.0
2016-03-12 14:45:00,-22.7188931180216,-43.2863080102248,0.0
2016-03-12 14:45:00,-22.7188931180216,-43.1654490468397,0.0
2016-03-12 15:00:00,-23.1339033365138,-43.8906028271505,0.0
2016-03-12 15:00:00,-23.1339033365138,-43.7697438637654,0.0
2016-03-12 15:00:00,-23.1339033365138,-43.6488849003802,0.0
2016-03-12 15:00:00,-23.1339033365138,-43.5280259369951,0.0
2016-03-12 15:00:00,-23.1339033365138,-43.4071669736099,0.07325816095905421
2016-03-12 15:00:00,-23.1339033365138,-43.2863080102248,0.058532293814520124
2016-03-12 15:00:00,-23.1339033365138,-43.1654490468397,0.5041831336479919
2016-03-12 15:00:00,-23.0647349667651,-43.8906028271505,0.0
2016-03-12 15:00:00,-23.0647349667651,-43.7697438637654,0.0
2016-03-12 15:00:00,-23.0647349667651,-43.6488849003802,0.0
2016-03-12 15:00:00,-23.0647349667651,-43.5280259369951,0.0
2016-03-12 15:00:00,-23.0647349667651,-43.4071669736099,0.08845168537845294
2016-03-12 15:00:00,-23.0647349667651,-43.2863080102248,0.048861771075243754
2016-03-12 15:00:00,-23.0647349667651,-43.1654490468397,1.5798903605150476
2016-03-12 15:00:00,-22.9955665970164,-43.8906028271505,0.0
2016-03-12 15:00:00,-22.9955665970164,-43.7697438637654,0.0
2016-03-12 15:00:00,-22.9955665970164,-43.6488849003802,0.0
2016-03-12 15:00:00,-22.9955665970164,-43.5280259369951,0.0
2016-03-12 15:00:00,-22.9955665970164,-43.4071669736099,0.0
2016-03-12 15:00:00,-22.9955665970164,-43.2863080102248,0.0404666427048985
2016-03-12 15:00:00,-22.9955665970164,-43.1654490468397,4.232344567157542
2016-03-12 15:00:00,-22.9263982272677,-43.8906028271505,0.0
2016-03-12 15:00:00,-22.9263982272677,-43.7697438637654,0.0
2016-03-12 15:00:00,-22.9263982272677,-43.6488849003802,0.0
2016-03-12 15:00:00,-22.9263982272677,-43.5280259369951,0.0
2016-03-12 15:00:00,-22.9263982272677,-43.4071669736099,0.0
2016-03-12 15:00:00,-22.9263982272677,-43.2863080102248,0.08594772601984507
2016-03-12 15:00:00,-22.9263982272677,-43.1654490468397,7.208388490540953
2016-03-12 15:00:00,-22.857229857519,-43.8906028271505,0.0
2016-03-12 15:00:00,-22.857229857519,-43.7697438637654,0.0
2016-03-12 15:00:00,-22.857229857519,-43.6488849003802,0.0
2016-03-12 15:00:00,-22.857229857519,-43.5280259369951,0.0
2016-03-12 15:00:00,-22.857229857519,-43.4071669736099,0.0
2016-03-12 15:00:00,-22.857229857519,-43.2863080102248,0.07369911160893282
2016-03-12 15:00:00,-22.857229857519,-43.1654490468397,0.8147140414710903
2016-03-12 15:00:00,-22.7880614877703,-43.8906028271505,0.0
2016-03-12 15:00:00,-22.7880614877703,-43.7697438637654,0.0
2016-03-12 15:00:00,-22.7880614877703,-43.6488849003802,0.0
2016-03-12 15:00:00,-22.7880614877703,-43.5280259369951,0.0
2016-03-12 15:00:00,-22.7880614877703,-43.4071669736099,0.0
2016-03-12 15:00:00,-22.7880614877703,-43.2863080102248,0.0
2016-03-12 15:00:00,-22.7880614877703,-43.1654490468397,0.9824700986811143
2016-03-12 15:00:00,-22.7188931180216,-43.8906028271505,0.0
2016-03-12 15:00:00,-22.7188931180216,-43.7697438637654,0.0
2016-03-12 15:00:00,-22.7188931180216,-43.6488849003802,0.0
2016-03-12 15:00:00,-22.7188931180216,-43.5280259369951,0.0
2016-03-12 15:00:00,-22.7188931180216,-43.4071669736099,0.0
2016-03-12 15:00:00,-22.7188931180216,-43.2863080102248,0.0
2016-03-12 15:00:00,-22.7188931180216,-43.1654490468397,0.39315797219511867
2016-03-12 15:15:00,-23.1339033365138,-43.8906028271505,0.0
2016-03-12 15:15:00,-23.1339033365138,-43.7697438637654,0.0
2016-03-12 15:15:00,-23.1339033365138,-43.6488849003802,0.0
2016-03-12 15:15:00,-23.1339033365138,-43.5280259369951,0.0
2016-03-12 15:15:00,-23.1339033365138,-43.4071669736099,0.07325816095905421
2016-03-12 15:15:00,-23.1339033365138,-43.2863080102248,0.058532293814520124
2016-03-12 15:15:00,-23.1339033365138,-43.1654490468397,0.378137350235994
2016-03-12 15:15:00,-23.0647349667651,-43.8906028271505,0.0
2016-03-12 15:15:00,-23.0647349667651,-43.7697438637654,0.0
2016-03-12 15:15:00,-23.0647349667651,-43.6488849003802,0.0
2016-03-12 15:15:00,-23.0647349667651,-43.5280259369951,0.0
2016-03-12 15:15:00,-23.0647349667651,-43.4071669736099,0.08845168537845294
2016-03-12 15:15:00,-23.0647349667651,-43.2863080102248,0.048861771075243754
2016-03-12 15:15:00,-23.0647349667651,-43.1654490468397,2.068125263478047
2016-03-12 15:15:00,-22.9955665970164,-43.8906028271505,0.0
2016-03-12 15:15:00,-22.9955665970164,-43.7697438637654,0.0
2016-03-12 15:15:00,-22.9955665970164,-43.6488849003802,0.0
2016-03-12 15:15:00,-22.9955665970164,-43.5280259369951,0.0
2016-03-12 15:15:00,-22.9955665970164,-43.4071669736099,0.0
2016-03-12 15:15:00,-22.9955665970164,-43.2863080102248,0.0404666427048985
2016-03-12 15:15:00,-22.9955665970164,-43.1654490468397,4.945166330753859
2016-03-12 15:15:00,-22.9263982272677,-43.8906028271505,0.0
2016-03-12 15:15:00,-22.9263982272677,-43.7697438637654,0.0
2016-03-12 15:15:00,-22.9263982272677,-43.6488849003802,0.0
2016-03-12 15:15:00,-22.9263982272677,-43.5280259369951,0.0
2016-03-12 15:15:00,-22.9263982272677,-43.4071669736099,0.0
2016-03-12 15:15:00,-22.9263982272677,-43.2863080102248,0.0
2016-03-12 15:15:00,-22.9263982272677,-43.1654490468397,6.488212265300351
2016-03-12 15:15:00,-22.857229857519,-43.8906028271505,0.0
2016-03-12 15:15:00,-22.857229857519,-43.7697438637654,0.0
2016-03-12 15:15:00,-22.857229857519,-43.6488849003802,0.0
2016-03-12 15:15:00,-22.857229857519,-43.5280259369951,0.0
2016-03-12 15:15:00,-22.857229857519,-43.4071669736099,0.0
2016-03-12 15:15:00,-22.857229857519,-43.2863080102248,0.0
2016-03-12 15:15:00,-22.857229857519,-43.1654490468397,3.6656148531228343
2016-03-12 15:15:00,-22.7880614877703,-43.8906028271505,0.0
2016-03-12 15:15:00,-22.7880614877703,-43.7697438637654,0.0
2016-03-12 15:15:00,-22.7880614877703,-43.6488849003802,0.0
2016-03-12 15:15:00,-22.7880614877703,-43.5280259369951,0.0
2016-03-12 15:15:00,-22.7880614877703,-43.4071669736099,0.0
2016-03-12 15:15:00,-22.7880614877703,-43.2863080102248,0.0
2016-03-12 15:15:00,-22.7880614877703,-43.1654490468397,4.175973622235368
2016-03-12 15:15:00,-22.7188931180216,-43.8906028271505,0.0
2016-03-12 15:15:00,-22.7188931180216,-43.7697438637654,0.0
2016-03-12 15:15:00,-22.7188931180216,-43.6488849003802,0.0
2016-03-12 15:15:00,-22.7188931180216,-43.5280259369951,0.0
2016-03-12 15:15:00,-22.7188931180216,-43.4071669736099,0.0
2016-03-12 15:15:00,-22.7188931180216,-43.2863080102248,0.0
2016-03-12 15:15:00,-22.7188931180216,-43.1654490468397,0.8649475388292611
2016-03-12 15:30:00,-23.1339033365138,-43.8906028271505,0.0
2016-03-12 15:30:00,-23.1339033365138,-43.7697438637654,0.0
2016-03-12 15:30:00,-23.1339033365138,-43.6488849003802,0.0
2016-03-12 15:30:00,-23.1339033365138,-43.5280259369951,0.0
2016-03-12 15:30:00,-23.1339033365138,-43.4071669736099,0.0
2016-03-12 15:30:00,-23.1339033365138,-43.2863080102248,0.0
2016-03-12 15:30:00,-23.1339033365138,-43.1654490468397,0.0
2016-03-12 15:30:00,-23.0647349667651,-43.8906028271505,0.0
2016-03-12 15:30:00,-23.0647349667651,-43.7697438637654,0.0
2016-03-12 15:30:00,-23.0647349667651,-43.6488849003802,0.0
2016-03-12 15:30:00,-23.0647349667651,-43.5280259369951,0.0
2016-03-12 15:30:00,-23.0647349667651,-43.4071669736099,0.0
2016-03-12 15:30:00,-23.0647349667651,-43.2863080102248,0.0
2016-03-12 15:30:00,-23.0647349667651,-43.1654490468397,0.9019991418809479
2016-03-12 15:30:00,-22.9955665970164,-43.8906028271505,0.0
2016-03-12 15:30:00,-22.9955665970164,-43.7697438637654,0.0
2016-03-12 15:30:00,-22.9955665970164,-43.6488849003802,0.0
2016-03-12 15:30:00,-22.9955665970164,-43.5280259369951,0.0
2016-03-12 15:30:00,-22.9955665970164,-43.4071669736099,0.0
2016-03-12 15:30:00,-22.9955665970164,-43.2863080102248,0.0
2016-03-12 15:30:00,-22.9955665970164,-43.1654490468397,1.5254752786376446
2016-03-12 15:30:00,-22.9263982272677,-43.8906028271505,0.0
2016-03-12 15:30:00,-22.9263982272677,-43.7697438637654,0.0
2016-03-12 15:30:00,-22.9263982272677,-43.6488849003802,0.0
2016-03-12 15:30:00,-22.9263982272677,-43.5280259369951,0.0
2016-03-12 15:30:00,-22.9263982272677,-43.4071669736099,0.12222720135039958
2016-03-12 15:30:00,-22.9263982272677,-43.2863080102248,0.20707246891627054
2016-03-12 15:30:00,-22.9263982272677,-43.1654490468397,2.880273457911077
2016-03-12 15:30:00,-22.857229857519,-43.8906028271505,0.0
2016-03-12 15:30:00,-22.857229857519,-43.7697438637654,0.0
2016-03-12 15:30:00,-22.857229857519,-43.6488849003802,0.0
2016-03-12 15:30:00,-22.857229857519,-43.5280259369951,0.0
2016-03-12 15:30:00,-22.857229857519,-43.4071669736099,0.17075387976095105
2016-03-12 15:30:00,-22.857229857519,-43.2863080102248,0.0
2016-03-12 15:30:00,-22.857229857519,-43.1654490468397,0.9767585185998249
2016-03-12 15:30:00,-22.7880614877703,-43.8906028271505,0.0
2016-03-12 15:30:00,-22.7880614877703,-43.7697438637654,0.0
2016-03-12 15:30:00,-22.7880614877703,-43.6488849003802,0.0
2016-03-12 15:30:00,-22.7880614877703,-43.5280259369951,0.0
2016-03-12 15:30:00,-22.7880614877703,-43.4071669736099,0.0
2016-03-12 15:30:00,-22.7880614877703,-43.2863080102248,0.0
2016-03-12 15:30:00,-22.7880614877703,-43.1654490468397,1.0929551209183237
2016-03-12 15:30:00,-22.7188931180216,-43.8906028271505,0.0
2016-03-12 15:30:00,-22.7188931180216,-43.7697438637654,0.0
2016-03-12 15:30:00,-22.7188931180216,-43.6488849003802,0.0
2016-03-12 15:30:00,-22.7188931180216,-43.5280259369951,0.0
2016-03-12 15:30:00,-22.7188931180216,-43.4071669736099,0.0
2016-03-12 15:30:00,-22.7188931180216,-43.2863080102248,0.0
2016-03-12 15:30:00,-22.7188931180216,-43.1654490468397,0.15726318887804747
2016-03-12 15:45:00,-23.1339033365138,-43.8906028271505,0.0
2016-03-12 15:45:00,-23.1339033365138,-43.7697438637654,0.0
2016-03-12 15:45:00,-23.1339033365138,-43.6488849003802,0.0
2016-03-12 15:45:00,-23.1339033365138,-43.5280259369951,0.0
2016-03-12 15:45:00,-23.1339033365138,-43.4071669736099,0.0
2016-03-12 15:45:00,-23.1339033365138,-43.2863080102248,0.0
2016-03-12 15:45:00,-23.1339033365138,-43.1654490468397,0.0
2016-03-12 15:45:00,-23.0647349667651,-43.8906028271505,0.0
2016-03-12 15:45:00,-23.0647349667651,-43.7697438637654,0.0
2016-03-12 15:45:00,-23.0647349667651,-43.6488849003802,0.0
2016-03-12 15:45:00,-23.0647349667651,-43.5280259369951,0.0
2016-03-12 15:45:00,-23.0647349667651,-43.4071669736099,0.0
2016-03-12 15:45:00,-23.0647349667651,-43.2863080102248,0.0
2016-03-12 15:45:00,-23.0647349667651,-43.1654490468397,0.15033319031349135
2016-03-12 15:45:00,-22.9955665970164,-43.8906028271505,0.0
2016-03-12 15:45:00,-22.9955665970164,-43.7697438637654,0.0
2016-03-12 15:45:00,-22.9955665970164,-43.6488849003802,0.0
2016-03-12 15:45:00,-22.9955665970164,-43.5280259369951,0.0
2016-03-12 15:45:00,-22.9955665970164,-43.4071669736099,0.0
2016-03-12 15:45:00,-22.9955665970164,-43.2863080102248,0.0
2016-03-12 15:45:00,-22.9955665970164,-43.1654490468397,1.268054745490613
2016-03-12 15:45:00,-22.9263982272677,-43.8906028271505,0.0
2016-03-12 15:45:00,-22.9263982272677,-43.7697438637654,0.0
2016-03-12 15:45:00,-22.9263982272677,-43.6488849003802,0.0
2016-03-12 15:45:00,-22.9263982272677,-43.5280259369951,0.0
2016-03-12 15:45:00,-22.9263982272677,-43.4071669736099,0.0
2016-03-12 15:45:00,-22.9263982272677,-43.2863080102248,0.06902415630542351
2016-03-12 15:45:00,-22.9263982272677,-43.1654490468397,1.2905515004384556
2016-03-12 15:45:00,-22.857229857519,-43.8906028271505,0.0
2016-03-12 15:45:00,-22.857229857519,-43.7697438637654,0.0
2016-03-12 15:45:00,-22.857229857519,-43.6488849003802,0.0
2016-03-12 15:45:00,-22.857229857519,-43.5280259369951,0.0
2016-03-12 15:45:00,-22.857229857519,-43.4071669736099,0.0
2016-03-12 15:45:00,-22.857229857519,-43.2863080102248,0.03624861594981705
2016-03-12 15:45:00,-22.857229857519,-43.1654490468397,1.0318716739204943
2016-03-12 15:45:00,-22.7880614877703,-43.8906028271505,0.0
2016-03-12 15:45:00,-22.7880614877703,-43.7697438637654,0.0
2016-03-12 15:45:00,-22.7880614877703,-43.6488849003802,0.0
2016-03-12 15:45:00,-22.7880614877703,-43.5280259369951,0.0
2016-03-12 15:45:00,-22.7880614877703,-43.4071669736099,0.0
2016-03-12 15:45:00,-22.7880614877703,-43.2863080102248,0.05659351502997592
2016-03-12 15:45:00,-22.7880614877703,-43.1654490468397,1.1097039096093184
2016-03-12 15:45:00,-22.7188931180216,-43.8906028271505,0.0
2016-03-12 15:45:00,-22.7188931180216,-43.7697438637654,0.0
2016-03-12 15:45:00,-22.7188931180216,-43.6488849003802,0.0
2016-03-12 15:45:00,-22.7188931180216,-43.5280259369951,0.0
2016-03-12 15:45:00,-22.7188931180216,-43.4071669736099,0.0
2016-03-12 15:45:00,-22.7188931180216,-43.2863080102248,0.06806753884236962
2016-03-12 15:45:00,-22.7188931180216,-43.1654490468397,0.0734486610400532
2016-03-12 16:00:00,-23.1339033365138,-43.8906028271505,0.0
2016-03-12 16:00:00,-23.1339033365138,-43.7697438637654,0.0
2016-03-12 16:00:00,-23.1339033365138,-43.6488849003802,0.0
2016-03-12 16:00:00,-23.1339033365138,-43.5280259369951,0.0
2016-03-12 16:00:00,-23.1339033365138,-43.4071669736099,0.0
2016-03-12 16:00:00,-23.1339033365138,-43.2863080102248,0.0
2016-03-12 16:00:00,-23.1339033365138,-43.1654490468397,0.0
2016-03-12 16:00:00,-23.0647349667651,-43.8906028271505,0.0
2016-03-12 16:00:00,-23.0647349667651,-43.7697438637654,0.0
2016-03-12 16:00:00,-23.0647349667651,-43.6488849003802,0.0
2016-03-12 16:00:00,-23.0647349667651,-43.5280259369951,0.0
2016-03-12 16:00:00,-23.0647349667651,-43.4071669736099,0.0
2016-03-12 16:00:00,-23.0647349667651,-43.2863080102248,0.0
2016-03-12 16:00:00,-23.0647349667651,-43.1654490468397,0.07516659515674567
2016-03-12 16:00:00,-22.9955665970164,-43.8906028271505,0.0
2016-03-12 16:00:00,-22.9955665970164,-43.7697438637654,0.0
2016-03-12 16:00:00,-22.9955665970164,-43.6488849003802,0.0
2016-03-12 16:00:00,-22.9955665970164,-43.5280259369951,0.0
2016-03-12 16:00:00,-22.9955665970164,-43.4071669736099,0.0
2016-03-12 16:00:00,-22.9955665970164,-43.2863080102248,0.0
2016-03-12 16:00:00,-22.9955665970164,-43.1654490468397,0.06375988577911586
2016-03-12 16:00:00,-22.9263982272677,-43.8906028271505,0.0
2016-03-12 16:00:00,-22.9263982272677,-43.7697438637654,0.0
2016-03-12 16:00:00,-22.9263982272677,-43.6488849003802,0.0
2016-03-12 16:00:00,-22.9263982272677,-43.5280259369951,0.0
2016-03-12 16:00:00,-22.9263982272677,-43.4071669736099,0.0
2016-03-12 16:00:00,-22.9263982272677,-43.2863080102248,0.0
2016-03-12 16:00:00,-22.9263982272677,-43.1654490468397,0.139789472648791
2016-03-12 16:00:00,-22.857229857519,-43.8906028271505,0.0
2016-03-12 16:00:00,-22.857229857519,-43.7697438637654,0.0
2016-03-12 16:00:00,-22.857229857519,-43.6488849003802,0.0
2016-03-12 16:00:00,-22.857229857519,-43.5280259369951,0.0
2016-03-12 16:00:00,-22.857229857519,-43.4071669736099,0.0
2016-03-12 16:00:00,-22.857229857519,-43.2863080102248,0.0
2016-03-12 16:00:00,-22.857229857519,-43.1654490468397,0.07937474414773033
2016-03-12 16:00:00,-22.7880614877703,-43.8906028271505,0.0
2016-03-12 16:00:00,-22.7880614877703,-43.7697438637654,0.0
2016-03-12 16:00:00,-22.7880614877703,-43.6488849003802,0.0
2016-03-12 16:00:00,-22.7880614877703,-43.5280259369951,0.0
2016-03-12 16:00:00,-22.7880614877703,-43.4071669736099,0.0
2016-03-12 16:00:00,-22.7880614877703,-43.2863080102248,0.0
2016-03-12 16:00:00,-22.7880614877703,-43.1654490468397,0.08536183920071681
2016-03-12 16:00:00,-22.7188931180216,-43.8906028271505,0.0
2016-03-12 16:00:00,-22.7188931180216,-43.7697438637654,0.0
2016-03-12 16:00:00,-22.7188931180216,-43.6488849003802,0.0
2016-03-12 16:00:00,-22.7188931180216,-43.5280259369951,0.0
2016-03-12 16:00:00,-22.7188931180216,-43.4071669736099,0.0
2016-03-12 16:00:00,-22.7188931180216,-43.2863080102248,0.0
2016-03-12 16:00:00,-22.7188931180216,-43.1654490468397,0.0
2016-03-12 16:15:00,-23.1339033365138,-43.8906028271505,0.0
2016-03-12 16:15:00,-23.1339033365138,-43.7697438637654,0.0
2016-03-12 16:15:00,-23.1339033365138,-43.6488849003802,0.0
2016-03-12 16:15:00,-23.1339033365138,-43.5280259369951,0.0
2016-03-12 16:15:00,-23.1339033365138,-43.4071669736099,0.0
2016-03-12 16:15:00,-23.1339033365138,-43.2863080102248,0.0
2016-03-12 16:15:00,-23.1339033365138,-43.1654490468397,0.0
2016-03-12 16:15:00,-23.0647349667651,-43.8906028271505,0.0
2016-03-12 16:15:00,-23.0647349667651,-43.7697438637654,0.0
2016-03-12 16:15:00,-23.0647349667651,-43.6488849003802,0.0
2016-03-12 16:15:00,-23.0647349667651,-43.5280259369951,0.0
2016-03-12 16:15:00,-23.0647349667651,-43.4071669736099,0.0
2016-03-12 16:15:00,-23.0647349667651,-43.2863080102248,0.0
2016-03-12 16:15:00,-23.0647349667651,-43.1654490468397,0.0
2016-03-12 16:15:00,-22.9955665970164,-43.8906028271505,0.0
2016-03-12 16:15:00,-22.9955665970164,-43.7697438637654,0.0
2016-03-12 16:15:00,-22.9955665970164,-43.6488849003802,0.0
2016-03-12 16:15:00,-22.9955665970164,-43.5280259369951,0.0
2016-03-12 16:15:00,-22.9955665970164,-43.4071669736099,0.0
2016-03-12 16:15:00,-22.9955665970164,-43.2863080102248,0.0
2016-03-12 16:15:00,-22.9955665970164,-43.1654490468397,0.0
2016-03-12 16:15:00,-22.9263982272677,-43.8906028271505,0.0
2016-03-12 16:15:00,-22.9263982272677,-43.7697438637654,0.0
2016-03-12 16:15:00,-22.9263982272677,-43.6488849003802,0.0
2016-03-12 16:15:00,-22.9263982272677,-43.5280259369951,0.0
2016-03-12 16:15:00,-22.9263982272677,-43.4071669736099,0.0
2016-03-12 16:15:00,-22.9263982272677,-43.2863080102248,0.0
2016-03-12 16:15:00,-22.9263982272677,-43.1654490468397,0.0
2016-03-12 16:15:00,-22.857229857519,-43.8906028271505,0.0
2016-03-12 16:15:00,-22.857229857519,-43.7697438637654,0.0
2016-03-12 16:15:00,-22.857229857519,-43.6488849003802,0.0
2016-03-12 16:15:00,-22.857229857519,-43.5280259369951,0.0
2016-03-12 16:15:00,-22.857229857519,-43.4071669736099,0.0
2016-03-12 16:15:00,-22.857229857519,-43.2863080102248,0.0
2016-03-12 16:15:00,-22.857229857519,-43.1654490468397,0.0
2016-03-12 16:15:00,-22.7880614877703,-43.8906028271505,0.0
2016-03-12 16:15:00,-22.7880614877703,-43.7697438637654,0.0
2016-03-12 16:15:00,-22.7880614877703,-43.6488849003802,0.0
2016-03-12 16:15:00,-22.7880614877703,-43.5280259369951,0.0
2016-03-12 16:15:00,-22.7880614877703,-43.4071669736099,0.0
2016-03-12 16:15:00,-22.7880614877703,-43.2863080102248,0.0
2016-03-12 16:15:00,-22.7880614877703,-43.1654490468397,0.0
2016-03-12 16:15:00,-22.7188931180216,-43.8906028271505,0.0
2016-03-12 16:15:00,-22.7188931180216,-43.7697438637654,0.0
2016-03-12 16:15:00,-22.7188931180216,-43.6488849003802,0.0
2016-03-12 16:15:00,-22.7188931180216,-43.5280259369951,0.0
2016-03-12 16:15:00,-22.7188931180216,-43.4071669736099,0.0
2016-03-12 16:15:00,-22.7188931180216,-43.2863080102248,0.0
2016-03-12 16:15:00,-22.7188931180216,-43.1654490468397,0.0
2016-03-12 16:30:00,-23.1339033365138,-43.8906028271505,0.0
2016-03-12 16:30:00,-23.1339033365138,-43.7697438637654,0.0
2016-03-12 16:30:00,-23.1339033365138,-43.6488849003802,0.0
2016-03-12 16:30:00,-23.1339033365138,-43.5280259369951,0.0
2016-03-12 16:30:00,-23.1339033365138,-43.4071669736099,0.0
2016-03-12 16:30:00,-23.1339033365138,-43.2863080102248,0.0
2016-03-12 16:30:00,-23.1339033365138,-43.1654490468397,0.0
2016-03-12 16:30:00,-23.0647349667651,-43.8906028271505,0.0
2016-03-12 16:30:00,-23.0647349667651,-43.7697438637654,0.0
2016-03-12 16:30:00,-23.0647349667651,-43.6488849003802,0.0
2016-03-12 16:30:00,-23.0647349667651,-43.5280259369951,0.0
2016-03-12 16:30:00,-23.0647349667651,-43.4071669736099,0.0
2016-03-12 16:30:00,-23.0647349667651,-43.2863080102248,0.0
2016-03-12 16:30:00,-23.0647349667651,-43.1654490468397,0.0
2016-03-12 16:30:00,-22.9955665970164,-43.8906028271505,0.0
2016-03-12 16:30:00,-22.9955665970164,-43.7697438637654,0.0
2016-03-12 16:30:00,-22.9955665970164,-43.6488849003802,0.0
2016-03-12 16:30:00,-22.9955665970164,-43.5280259369951,0.0
2016-03-12 16:30:00,-22.9955665970164,-43.4071669736099,0.0
2016-03-12 16:30:00,-22.9955665970164,-43.2863080102248,0.0
2016-03-12 16:30:00,-22.9955665970164,-43.1654490468397,0.0
2016-03-12 16:30:00,-22.9263982272677,-43.8906028271505,0.0
2016-03-12 16:30:00,-22.9263982272677,-43.7697438637654,0.0
2016-03-12 16:30:00,-22.9263982272677,-43.6488849003802,0.0
2016-03-12 16:30:00,-22.9263982272677,-43.5280259369951,0.0
2016-03-12 16:30:00,-22.9263982272677,-43.4071669736099,0.0
2016-03-12 16:30:00,-22.9263982272677,-43.2863080102248,0.0
2016-03-12 16:30:00,-22.9263982272677,-43.1654490468397,0.0
2016-03-12 16:30:00,-22.857229857519,-43.8906028271505,0.0
2016-03-12 16:30:00,-22.857229857519,-43.7697438637654,0.0
2016-03-12 16:30:00,-22.857229857519,-43.6488849003802,0.0
2016-03-12 16:30:00,-22.857229857519,-43.5280259369951,0.0
